Methode,Porosität_%,Druchlässigkeit_mD,Tiefe_m,Dichte_API,Viskosität_cP,Temp_C,Sättigung_%
Dampf,32.0,1675.0,365.76,12.0,2000.0,37.77777777777778,59.590647482014376
Dampf,32.0,2500.0,426.72,14.0,1500.0,37.77777777777778,59.590647482014376
Dampf,32.0,1000.0,304.8,13.0,1500.0,37.77777777777778,59.590647482014376
Dampf,35.0,1600.0,630.936,13.9,1270.0,40.55555555555556,59.590647482014376
Dampf,32.0,3030.0,320.04,14.0,1500.0,35.0,59.590647482014376
Dampf,37.0,475.0,396.24,13.0,4000.0,37.77777777777778,40.0
Dampf,30.1,2780.0,781.2024,14.0,283.0,50.55555555555556,55.0
Dampf,30.0,800.0,914.4,11.0,17600.0,48.888888888888886,90.0
Dampf,35.0,2700.0,396.24,12.0,3000.0,537.7777777777777,50.0
Dampf,33.0,1800.0,365.76,13.0,4000.0,37.77777777777778,52.0
Dampf,34.0,2016.996875,259.08000000000004,14.0,2000.0,32.22222222222222,60.0
Dampf,38.0,2700.0,396.24,13.0,4000.0,37.77777777777778,47.0
Dampf,32.12439024390244,2016.996875,432.14108571428574,13.240223463687157,4764.251190476191,42.82622739018088,59.590647482014376
Dampf,34.0,2800.0,292.608,14.0,2000.0,32.22222222222222,59.0
Dampf,32.0,2016.996875,304.8,14.0,2000.0,32.22222222222222,55.0
Dampf,29.0,1000.0,762.0,12.0,2300.0,37.77777777777778,50.0
Dampf,29.0,1000.0,762.0,12.0,2300.0,37.77777777777778,50.0
Dampf,35.0,1000.0,365.76,13.0,1000.0,32.22222222222222,46.0
Dampf,35.0,2700.0,396.24,12.0,4000.0,37.77777777777778,57.0
Dampf,33.0,2016.996875,426.72,14.0,2000.0,32.22222222222222,65.0
Dampf,32.0,1100.0,396.24,14.0,1500.0,65.55555555555556,58.0
Dampf,32.0,2200.0,487.68,14.0,1500.0,40.55555555555556,55.0
Dampf,36.0,3900.0,426.72,14.0,900.0,48.888888888888886,61.0
Dampf,34.0,3389.0,236.22,14.0,2000.0,32.22222222222222,55.0
Dampf,34.0,2800.0,292.608,14.0,2000.0,32.22222222222222,59.0
Dampf,30.0,2016.996875,304.8,14.0,2000.0,32.22222222222222,50.0
Dampf,40.0,2500.0,259.08000000000004,14.0,1400.0,37.77777777777778,50.0
Dampf,33.0,2900.0,365.76,12.0,5500.0,37.77777777777778,51.0
Dampf,38.0,2000.0,106.68,12.0,4600.0,32.22222222222222,55.0
Dampf,29.0,920.0,1005.84,19.0,78.0,55.0,71.0
Dampf,30.0,2160.0,792.48,16.0,167.0,46.11111111111111,59.590647482014376
Dampf,36.0,1800.0,277.368,18.0,200.0,32.22222222222222,72.0
Dampf,27.0,1000.0,289.56,13.0,6400.0,36.11111111111111,95.0
Dampf,32.0,1200.0,213.36,11.0,6500.0,27.22222222222222,99.0
Dampf,29.0,2000.0,289.56,15.0,1000.0,28.88888888888889,74.0
Dampf,38.0,2100.0,91.44,14.0,400.0,23.88888888888889,86.0
Dampf,40.0,800.0,167.64,18.0,300.0,32.22222222222222,59.590647482014376
Dampf,40.0,62.0,350.52000000000004,20.0,50.0,37.77777777777778,59.590647482014376
Dampf,33.0,3250.0,426.72,14.0,1525.0,35.0,50.0
Dampf,22.0,300.0,426.72,13.0,13.3,32.22222222222222,59.590647482014376
Dampf,35.0,1000.0,335.28000000000003,13.0,8000.0,40.55555555555556,20.0
Dampf,35.0,5000.0,396.24,16.0,310.0,35.0,59.590647482014376
Dampf,28.0,1100.0,335.28000000000003,12.0,8000.0,35.0,45.0
Dampf,32.0,1000.0,487.68,16.0,150.0,51.66666666666666,75.5
Dampf,32.0,300.0,777.24,16.0,800.0,54.44444444444444,68.0
Dampf,32.0,850.0,701.0400000000001,13.0,1000.0,-11.11111111111111,60.0
Dampf,32.0,850.0,640.08,13.0,1000.0,48.888888888888886,51.0
Dampf,32.0,850.0,640.08,13.0,1000.0,48.888888888888886,75.5
Dampf,35.0,2000.0,585.216,20.0,75.0,43.333333333333336,71.0
Dampf,32.0,2000.0,609.6,10.5,12000.0,40.55555555555556,60.0
Dampf,29.0,1432.0,371.856,13.0,2000.0,37.77777777777778,67.0
Dampf,20.5,250.0,106.68,17.0,6000.0,21.11111111111111,55.0
Dampf,20.5,250.0,216.1032,17.0,6000.0,18.33333333333333,50.0
Dampf,35.0,2000.0,731.52,12.7,2600.0,43.333333333333336,90.0
Dampf,34.5,3000.0,701.0400000000001,12.0,300.0,54.44444444444444,55.0
Dampf,32.5,3000.0,640.08,11.0,2000.0,51.66666666666666,55.0
Dampf,35.0,1000.0,304.8,12.0,2000.0,37.77777777777778,65.0
Dampf,34.0,4000.0,289.56,13.0,800.0,29.444444444444443,95.0
Dampf,35.0,3000.0,304.8,14.0,1600.0,35.0,64.0
Dampf,35.0,3000.0,304.8,14.0,1600.0,35.0,60.0
Dampf,37.0,1000.0,548.64,14.0,800.0,37.77777777777778,67.0
Dampf,37.0,1000.0,548.64,14.0,800.0,37.77777777777778,86.0
Dampf,35.0,3000.0,152.4,13.0,1500.0,35.0,87.5
Dampf,30.0,1000.0,335.28000000000003,17.0,800.0,37.77777777777778,87.0
Dampf,35.0,3000.0,365.76,11.5,10000.0,26.666666666666664,55.0
Dampf,30.0,2500.0,259.08000000000004,11.0,4000.0,37.77777777777778,95.0
Dampf,35.0,3000.0,365.76,11.5,10000.0,26.666666666666664,55.0
Dampf,30.0,200.0,457.2000000000001,14.5,1665.0,23.88888888888889,35.0
Dampf,30.0,2250.0,167.64,12.0,6500.0,32.22222222222222,100.0
Dampf,30.0,200.0,502.92,14.5,1665.0,23.88888888888889,35.0
Dampf,30.0,3250.0,457.2000000000001,14.0,2284.0,23.88888888888889,35.0
Dampf,30.0,3250.0,426.72,14.0,2284.0,23.88888888888889,35.0
Dampf,31.0,3250.0,358.14000000000004,14.0,2284.0,23.88888888888889,35.0
Dampf,30.0,2000.0,502.92,14.5,1667.0,23.88888888888889,35.0
Dampf,30.0,2000.0,533.4,14.5,1667.0,23.88888888888889,35.0
Dampf,30.0,2245.0,167.64,12.0,6500.0,32.22222222222222,59.0
Dampf,35.0,1300.0,396.24,10.5,3000.0,40.55555555555556,50.0
Dampf,36.0,1750.0,426.72,11.0,3000.0,43.333333333333336,60.0
Dampf,30.0,1500.0,304.8,11.0,20000.0,32.22222222222222,60.0
Dampf,30.0,1500.0,365.76,11.0,20000.0,32.22222222222222,60.0
Dampf,30.0,1000.0,365.76,11.5,20000.0,32.22222222222222,60.0
Dampf,27.0,1000.0,274.32,13.0,4000.0,37.77777777777778,55.0
Dampf,22.0,6000.0,198.12,12.0,6400.0,29.444444444444443,66.0
Dampf,32.12439024390244,2016.996875,762.0,12.5,600.0,43.333333333333336,59.590647482014376
